latitude,longitude,rwi,error
-3.4805234,-79.5080566,-0.008,0.385
-2.3174830,-80.1672363,-0.861,0.414
0.2526847,-78.9807129,-0.383,0.500
0.0988769,-77.0471191,-0.656,0.420
-0.8459165,-79.5520020,-0.562,0.427
-2.2516175,-79.5300293,-0.176,0.494
-1.8563646,-80.1672363,-0.549,0.479
-2.0540032,-79.8596191,0.455,0.532
-1.7465556,-78.7829590,-0.129,0.467
0.0329590,-79.6179199,-0.707,0.389
-2.1857489,-79.8596191,1.184,0.563
-0.5822654,-78.5632324,-0.959,0.496
0.7580345,-79.8596191,-0.388,0.412
-0.9337965,-77.7502441,-0.079,0.430
-1.4170918,-80.2551270,-0.645,0.414
-1.5708481,-80.4309082,-0.226,0.500
-3.8752158,-79.7277832,-0.414,0.439
-0.9777357,-79.5739746,-0.160,0.572
-0.0109863,-79.6618652,-0.412,0.446
-1.7904800,-79.7497559,-0.470,0.513
-0.3625464,-78.4973145,0.715,0.511
-0.8678867,-80.1672363,-0.490,0.503
-0.6262082,-80.2111816,-0.117,0.450
-3.0417830,-79.4860840,-0.343,0.395
-1.2852926,-80.1013184,-0.553,0.419
0.9777357,-79.0246582,-0.553,0.419
0.4504348,-79.9475098,-0.484,0.537
-1.7245930,-78.9587402,-0.502,0.435
-3.3708564,-79.8815918,-0.428,0.524
0.2307123,-76.4099121,-0.481,0.410
-3.5682478,-79.9475098,-0.210,0.456
-1.3731595,-80.2990723,-0.594,0.432
0.2307123,-79.7058105,-0.339,0.388
-2.1637921,-79.9475098,1.429,0.491
-0.1208495,-76.8273926,-0.374,0.457
-1.1974226,-80.1232910,-0.613,0.419
-4.1601581,-78.9367676,0.061,0.492
0.9557662,-79.3762207,-1.221,0.434
-3.6559638,-79.7937012,0.490,0.443
0.4724067,-77.8601074,-0.495,0.400
-0.1647947,-80.2551270,-0.085,0.493
-0.0109863,-78.9587402,-0.042,0.462
-2.2735730,-79.5300293,-0.265,0.471
-1.0436434,-79.2663574,-0.628,0.450
-0.7360637,-78.6071777,0.472,0.500
-2.0320445,-79.6179199,0.101,0.450
-0.2526847,-79.3542480,0.567,0.518
-1.2852926,-78.9367676,-0.547,0.450
-2.1418349,-79.0026855,-0.817,0.486
-3.8532931,-79.7497559,-0.670,0.495
-0.7800052,-79.7937012,-0.675,0.427
-0.4064907,-80.1672363,-0.246,0.460
-3.9190595,-79.9914551,-0.144,0.401
-0.5383221,-79.6618652,-0.620,0.412
0.0769043,-78.9367676,-0.278,0.443
-1.2193903,-79.9255371,-0.510,0.444
-1.3511931,-79.4641113,-0.666,0.526
-1.8124418,-79.5080566,0.838,0.556
-0.2526847,-80.2111816,-0.390,0.425
-2.8003980,-78.7170410,-0.092,0.505
-4.0505767,-79.8376465,-0.618,0.444
-2.0100856,-79.5080566,-0.398,0.511
-0.6262082,-79.6838379,-0.184,0.440
-4.4449973,-79.8156738,-0.515,0.449
-4.1382430,-79.9694824,-0.808,0.413
-1.7904800,-80.2331543,-0.425,0.528
-2.8223442,-78.3654785,-0.194,0.416
-0.4284628,-76.7834473,0.017,0.451
-1.8124418,-79.3762207,-0.390,0.524
-0.7800052,-79.4421387,-0.259,0.506
-0.2526847,-76.8273926,-0.195,0.545
-1.8344033,-78.6950684,-0.222,0.501
0.5602938,-79.1345215,-0.471,0.407
-2.0979197,-79.8815918,0.893,0.538
-2.3174830,-79.8596191,0.055,0.478
-0.3186019,-76.9592285,-0.253,0.476
-1.6587038,-79.2883301,-0.359,0.500
-0.8898568,-80.3430176,0.178,0.492
0.1647947,-79.5959473,-0.621,0.388
-2.9320690,-79.0905762,0.534,0.502
-0.1208495,-79.9475098,-0.518,0.436
-1.8344033,-79.1564941,-0.326,0.466
0.7140928,-77.7282715,-0.617,0.473
-0.1428221,-76.4538574,-0.695,0.433
0.7800052,-78.9367676,-1.208,0.426
0.8019758,-77.8161621,-0.923,0.451
-1.3951258,-77.9699707,-0.134,0.465
-3.7436712,-79.5739746,0.039,0.462
-3.4147247,-80.0354004,-0.463,0.469
1.1974226,-78.9367676,-0.491,0.412
-0.8019758,-77.7502441,-0.655,0.497
0.1428221,-79.1125488,-0.509,0.458
-1.9002862,-80.0354004,0.036,0.486
-0.7140928,-80.1013184,0.766,0.551
-0.5822654,-78.6071777,0.391,0.453
-0.9557662,-78.9807129,-0.898,0.470
-3.2392398,-78.7170410,0.072,0.500
0.0769043,-79.3542480,-0.503,0.460
-1.3292264,-79.4201660,-0.187,0.473
-3.3050503,-79.8596191,-0.164,0.519
-1.3731595,-78.6730957,-0.357,0.519
-0.5163504,-80.3649902,-0.304,0.426
-1.5269188,-79.0905762,-0.488,0.431
-4.3354564,-79.9035645,-0.509,0.414
0.5602938,-79.9255371,-0.838,0.508
-0.7140928,-76.9812012,-0.676,0.407
0.3845186,-79.3103027,-0.732,0.419
0.0109863,-78.2116699,0.170,0.465
-3.5901776,-79.3103027,-0.400,0.450
-1.8563646,-80.7385254,0.507,0.530
-4.1382430,-80.2551270,-0.456,0.402
-4.4669035,-80.3430176,0.130,0.489
-1.7026302,-79.3762207,-0.649,0.505
-2.0979197,-78.8928223,-0.483,0.401
-2.6687122,-80.3649902,0.439,0.531
-2.7784514,-78.1896973,-0.494,0.392
-1.2413579,-80.0573730,-0.753,0.415
1.2413579,-79.0466309,-0.721,0.415
0.3186019,-79.9255371,-0.012,0.441
-0.8239462,-79.5080566,-0.561,0.483
-1.6806671,-79.9694824,-0.522,0.485
-2.6028640,-79.4641113,-0.149,0.484
-1.1095498,-80.0793457,-0.078,0.455
0.7800052,-77.7282715,0.133,0.520
1.2633253,-78.6291504,-0.825,0.400
-0.2307123,-79.5080566,-0.621,0.472
-2.9978987,-79.6398926,-0.182,0.422
-0.3845186,-76.6955566,-0.582,0.408
0.7360637,-79.5520020,-0.270,0.494
-4.0944111,-80.4748535,0.206,0.423
-1.0656124,-78.6730957,-0.408,0.498
-3.8752158,-79.3322754,0.545,0.527
0.6262082,-78.1896973,-0.569,0.413
0.0988769,-78.4094238,0.328,0.507
-0.2746571,-79.9255371,-0.683,0.457
-1.1754546,-80.0354004,-0.828,0.403
-1.8783255,-79.9475098,-0.166,0.507
0.0988769,-79.6179199,0.217,0.412
-2.9978987,-79.7937012,0.696,0.567
-1.1315182,-80.1452637,-0.091,0.426
0.2087398,-80.0354004,0.547,0.507
0.0109863,-78.1677246,0.312,0.508
0.0329590,-78.4753418,-0.517,0.485
-0.1867672,-79.7058105,-0.418,0.428
-0.1428221,-80.1232910,-0.600,0.522
0.7800052,-77.7941895,-0.573,0.407
-1.2633253,-78.7170410,0.376,0.508
0.6921218,-78.9587402,-0.533,0.394
-2.8223442,-78.8488770,0.241,0.501
-0.2966295,-80.0134277,-0.402,0.476
-2.9320690,-78.9587402,0.692,0.528
-2.8881803,-78.9587402,0.968,0.475
-0.7800052,-79.5959473,-0.741,0.442
-1.4829887,-79.3542480,-0.922,0.424
-0.1428221,-79.0686035,-0.214,0.445
-3.0198411,-78.3654785,-0.861,0.390
-0.5163504,-79.4421387,-0.430,0.447
